Hamming_Distance,Similarity_Strength,Train_Class,Train_Filename,Train_Path,Test_Class,Test_Filename,Test_Path
0,Very Strong,Malignant,876.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\876.jpg,Malignant,5610.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5610.jpg
0,Very Strong,Malignant,877.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\877.jpg,Malignant,5621.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5621.jpg
0,Very Strong,Malignant,878.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\878.jpg,Malignant,5632.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5632.jpg
0,Very Strong,Malignant,879.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\879.jpg,Malignant,5643.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5643.jpg
0,Very Strong,Malignant,955.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\955.jpg,Malignant,5643.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5643.jpg
0,Very Strong,Malignant,881.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\881.jpg,Malignant,5654.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5654.jpg
0,Very Strong,Malignant,3183.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3183.jpg,Malignant,5658.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5658.jpg
0,Very Strong,Malignant,1423.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1423.jpg,Malignant,5677.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5677.jpg
0,Very Strong,Malignant,1433.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1433.jpg,Malignant,5688.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5688.jpg
0,Very Strong,Malignant,37.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\37.jpg,Malignant,5699.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5699.jpg
0,Very Strong,Malignant,882.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\882.jpg,Malignant,5702.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5702.jpg
0,Very Strong,Malignant,883.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\883.jpg,Malignant,5703.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5703.jpg
0,Very Strong,Malignant,885.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\885.jpg,Malignant,5705.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5705.jpg
0,Very Strong,Malignant,887.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\887.jpg,Malignant,5707.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5707.jpg
0,Very Strong,Malignant,888.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\888.jpg,Malignant,5708.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5708.jpg
0,Very Strong,Malignant,889.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\889.jpg,Malignant,5709.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5709.jpg
0,Very Strong,Malignant,890.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\890.jpg,Malignant,5712.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5712.jpg
0,Very Strong,Malignant,892.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\892.jpg,Malignant,5713.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5713.jpg
0,Very Strong,Malignant,893.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\893.jpg,Malignant,5715.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5715.jpg
0,Very Strong,Malignant,894.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\894.jpg,Malignant,5716.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5716.jpg
0,Very Strong,Malignant,895.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\895.jpg,Malignant,5717.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5717.jpg
0,Very Strong,Malignant,896.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\896.jpg,Malignant,5718.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5718.jpg
0,Very Strong,Malignant,897.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\897.jpg,Malignant,5719.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5719.jpg
0,Very Strong,Malignant,898.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\898.jpg,Malignant,5720.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5720.jpg
0,Very Strong,Malignant,899.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\899.jpg,Malignant,5722.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5722.jpg
0,Very Strong,Malignant,900.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\900.jpg,Malignant,5724.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5724.jpg
0,Very Strong,Malignant,901.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\901.jpg,Malignant,5725.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5725.jpg
0,Very Strong,Malignant,900.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\900.jpg,Malignant,5728.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5728.jpg
0,Very Strong,Malignant,905.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\905.jpg,Malignant,5729.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5729.jpg
0,Very Strong,Malignant,906.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\906.jpg,Malignant,5730.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5730.jpg
0,Very Strong,Malignant,907.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\907.jpg,Malignant,5731.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5731.jpg
0,Very Strong,Malignant,908.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\908.jpg,Malignant,5733.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5733.jpg
0,Very Strong,Malignant,909.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\909.jpg,Malignant,5734.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5734.jpg
0,Very Strong,Malignant,911.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\911.jpg,Malignant,5737.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5737.jpg
0,Very Strong,Malignant,912.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\912.jpg,Malignant,5738.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5738.jpg
0,Very Strong,Malignant,914.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\914.jpg,Malignant,5739.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5739.jpg
0,Very Strong,Malignant,916.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\916.jpg,Malignant,5742.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5742.jpg
0,Very Strong,Malignant,918.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\918.jpg,Malignant,5744.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5744.jpg
0,Very Strong,Malignant,919.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\919.jpg,Malignant,5745.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5745.jpg
0,Very Strong,Malignant,921.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\921.jpg,Malignant,5748.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5748.jpg
0,Very Strong,Malignant,922.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\922.jpg,Malignant,5749.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5749.jpg
0,Very Strong,Malignant,923.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\923.jpg,Malignant,5750.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5750.jpg
0,Very Strong,Malignant,925.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\925.jpg,Malignant,5751.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5751.jpg
0,Very Strong,Malignant,926.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\926.jpg,Malignant,5752.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5752.jpg
0,Very Strong,Malignant,927.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\927.jpg,Malignant,5755.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5755.jpg
0,Very Strong,Malignant,929.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\929.jpg,Malignant,5757.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5757.jpg
0,Very Strong,Malignant,930.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\930.jpg,Malignant,5758.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5758.jpg
0,Very Strong,Malignant,5377.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5377.jpg,Malignant,5759.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5759.jpg
0,Very Strong,Malignant,615.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\615.jpg,Malignant,5759.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5759.jpg
0,Very Strong,Malignant,934.jpg,D:/university/summer 26/Data Mining/research project/archive\train\Malignant\934.jpg,Malignant,5764.jpg,D:/university/summer 26/Data Mining/research project/archive\test\Malignant\5764.jpg
