Split,Class,Filename
Train,Benign,572.jpg
Train,Benign,182.jpg
Train,Benign,1182.jpg
Train,Benign,805.jpg
Train,Benign,3027.jpg
Train,Benign,2804.jpg
Train,Benign,2644.jpg
Train,Benign,2027.jpg
Train,Benign,769.jpg
Train,Benign,1754.jpg
Train,Benign,5997.jpg
Train,Benign,8.jpg
Train,Malignant,5025.jpg
Train,Malignant,1640.jpg
Train,Malignant,5360.jpg
Train,Malignant,4114.jpg
Train,Malignant,1232.jpg
Train,Malignant,1218.jpg
Train,Malignant,1690.jpg
Train,Malignant,2611.jpg
Train,Malignant,2715.jpg
Train,Malignant,4730.jpg
Train,Malignant,5446.jpg
Train,Malignant,1194.jpg
