Class,Filename,Width,Height,Aspect_Ratio,Brightness_Mean,Brightness_Std,Red_Mean,Green_Mean,Blue_Mean,Red_Std,Green_Std,Blue_Std
Benign,1.jpg,224,224,1.0,194.40569,29.677553,222.90451,181.2308,179.08173,15.323068,23.59604,25.102146
Benign,10.jpg,224,224,1.0,188.80368,39.672646,239.8153,154.16803,172.42772,10.133892,14.957253,18.037596
Benign,100.jpg,224,224,1.0,169.07898,28.082685,174.83736,156.43568,175.96388,19.644802,26.306131,32.366142
Benign,1000.jpg,224,224,1.0,169.73918,44.65807,225.98123,134.27922,148.95714,13.445416,22.674429,20.872225
Benign,1001.jpg,224,224,1.0,153.7077,43.98726,208.03386,120.68971,132.39952,13.950631,24.654814,22.507751
Benign,1002.jpg,224,224,1.0,151.31343,46.7719,209.47832,120.87872,123.58323,14.277809,21.783316,28.391432
Benign,1003.jpg,224,224,1.0,150.40833,49.047512,209.34296,118.601006,123.28101,19.84092,26.178297,30.284042
Benign,1004.jpg,224,224,1.0,191.16922,38.321716,241.49864,158.4851,173.52391,6.302338,12.129709,17.49726
Benign,1005.jpg,224,224,1.0,166.54659,48.234596,223.85074,139.3884,136.40063,18.946249,28.337708,29.793133
Benign,1006.jpg,224,224,1.0,192.14296,41.39068,245.13062,169.19954,162.09871,4.9374313,16.946363,24.315783
Benign,1007.jpg,224,224,1.0,173.40952,52.43001,231.71939,141.43085,147.07831,17.662582,34.082222,40.70804
Benign,1008.jpg,224,224,1.0,157.77376,57.48713,217.67615,125.2325,130.41264,32.268604,40.28052,43.06585
Benign,1009.jpg,224,224,1.0,186.3545,32.51892,223.76346,162.49869,172.80142,18.507414,16.102695,20.454908
Benign,101.jpg,224,224,1.0,139.7791,49.88063,190.65753,111.88345,116.79633,30.551125,36.21231,36.394238
Benign,1010.jpg,224,224,1.0,167.62367,40.085747,212.16838,148.02469,142.67795,20.837378,25.982023,26.845842
Benign,1011.jpg,224,224,1.0,164.64693,53.121223,234.58261,127.740814,131.61732,13.915131,20.500448,22.53171
