Class,Filename,Variable,Value,Q1,Q3,IQR,Lower_Bound,Upper_Bound
Benign,1811.jpg,Brightness_Mean,66.14367,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,2089.jpg,Brightness_Mean,55.194855,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,2279.jpg,Brightness_Mean,59.834217,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,2588.jpg,Brightness_Mean,71.18691,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,3032.jpg,Brightness_Mean,46.06387,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,3514.jpg,Brightness_Mean,67.815216,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,3528.jpg,Brightness_Mean,72.62031,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,3573.jpg,Brightness_Mean,51.45265,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,3662.jpg,Brightness_Mean,72.23184,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,3733.jpg,Brightness_Mean,58.002125,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,3746.jpg,Brightness_Mean,72.036896,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,3862.jpg,Brightness_Mean,52.090714,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,3996.jpg,Brightness_Mean,62.479168,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,4362.jpg,Brightness_Mean,59.884613,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,4367.jpg,Brightness_Mean,48.700954,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,4473.jpg,Brightness_Mean,74.341896,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,4578.jpg,Brightness_Mean,64.013664,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,4615.jpg,Brightness_Mean,52.93168,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,4627.jpg,Brightness_Mean,27.404821,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,4857.jpg,Brightness_Mean,57.21895,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,4875.jpg,Brightness_Mean,71.47862,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,5160.jpg,Brightness_Mean,48.482967,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,5211.jpg,Brightness_Mean,35.867706,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,5478.jpg,Brightness_Mean,58.576584,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,5688.jpg,Brightness_Mean,72.93037,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,5974.jpg,Brightness_Mean,73.7207,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,6248.jpg,Brightness_Mean,71.94935,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374
Benign,1034.jpg,Brightness_Std,78.12005,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,1159.jpg,Brightness_Std,70.338326,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,1231.jpg,Brightness_Std,70.28719,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,1240.jpg,Brightness_Std,75.66326,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,138.jpg,Brightness_Std,77.16506,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,1669.jpg,Brightness_Std,74.61179,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,1708.jpg,Brightness_Std,72.86493,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,1709.jpg,Brightness_Std,79.200165,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,1777.jpg,Brightness_Std,75.4046,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,1778.jpg,Brightness_Std,70.84931,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,180.jpg,Brightness_Std,74.54424,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,2363.jpg,Brightness_Std,73.61076,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,2375.jpg,Brightness_Std,78.02742,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,3314.jpg,Brightness_Std,83.299904,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,3324.jpg,Brightness_Std,75.29714,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,363.jpg,Brightness_Std,81.655075,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,4079.jpg,Brightness_Std,85.18603,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,4253.jpg,Brightness_Std,70.523476,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,4283.jpg,Brightness_Std,70.89828,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,4517.jpg,Brightness_Std,89.04572,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,452.jpg,Brightness_Std,71.56531,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,4661.jpg,Brightness_Std,78.78344,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,4908.jpg,Brightness_Std,84.57801,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,5583.jpg,Brightness_Std,75.84223,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,5590.jpg,Brightness_Std,73.389465,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,5614.jpg,Brightness_Std,71.36087,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,5642.jpg,Brightness_Std,72.11992,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,6266.jpg,Brightness_Std,79.03006,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,969.jpg,Brightness_Std,71.82062,29.980288,46.011898,16.03161,5.932873000000001,70.059313
Benign,1440.jpg,Red_Mean,116.38281,187.78491,228.75868,40.97377,126.324255,290.219335
Benign,1699.jpg,Red_Mean,120.94697,187.78491,228.75868,40.97377,126.324255,290.219335
Benign,180.jpg,Red_Mean,108.05319,187.78491,228.75868,40.97377,126.324255,290.219335
Benign,1811.jpg,Red_Mean,95.317604,187.78491,228.75868,40.97377,126.324255,290.219335
