Class,Category,Filename,Value
Benign,Darkest,4627.jpg,27.404821
Benign,Darkest,5211.jpg,35.867706
Benign,Darkest,3032.jpg,46.06387
Benign,Darkest,5160.jpg,48.482967
Benign,Darkest,4367.jpg,48.700954
Benign,Brightest,4839.jpg,238.72871
Benign,Brightest,2011.jpg,236.87845
Benign,Brightest,6066.jpg,234.89201
Benign,Brightest,5154.jpg,233.75197
Benign,Brightest,4975.jpg,233.12016
Benign,Lowest_Contrast,6217.jpg,9.679662
Benign,Lowest_Contrast,5769.jpg,11.047792
Benign,Lowest_Contrast,3950.jpg,12.573212
Benign,Lowest_Contrast,5306.jpg,12.679994
Benign,Lowest_Contrast,1975.jpg,13.771745
Benign,Highest_Contrast,4517.jpg,89.04572
Benign,Highest_Contrast,4079.jpg,85.18603
Benign,Highest_Contrast,4908.jpg,84.57801
Benign,Highest_Contrast,3314.jpg,83.299904
Benign,Highest_Contrast,363.jpg,81.655075
Malignant,Darkest,3023.jpg,32.627686
Malignant,Darkest,2288.jpg,32.883324
Malignant,Darkest,1125.jpg,33.612137
Malignant,Darkest,5381.jpg,36.03486
Malignant,Darkest,3927.jpg,38.219772
Malignant,Brightest,2474.jpg,224.03476
Malignant,Brightest,5119.jpg,223.65479
Malignant,Brightest,1028.jpg,222.47855
Malignant,Brightest,5291.jpg,221.87323
Malignant,Brightest,52.jpg,221.49602
Malignant,Lowest_Contrast,996.jpg,8.323417
Malignant,Lowest_Contrast,1026.jpg,11.284087
Malignant,Lowest_Contrast,2169.jpg,11.738572
Malignant,Lowest_Contrast,621.jpg,12.37618
Malignant,Lowest_Contrast,5541.jpg,12.660586
Malignant,Highest_Contrast,2667.jpg,99.88684
Malignant,Highest_Contrast,1805.jpg,96.81338
Malignant,Highest_Contrast,3855.jpg,96.79161
Malignant,Highest_Contrast,3168.jpg,96.47579
Malignant,Highest_Contrast,4193.jpg,94.83299
