Class,Variable,Q1,Q3,IQR,Lower_Bound,Upper_Bound,Outlier_Count,Outlier_Percentage
Benign,Brightness_Mean,146.58324,194.32744,47.744200000000006,74.96693999999998,265.94374,27,0.4293210367307998
Benign,Brightness_Std,29.980288,46.011898,16.03161,5.932873000000001,70.059313,29,0.46112259500715536
Benign,Red_Mean,187.78491,228.75868,40.97377,126.324255,290.219335,62,0.9858483065670217
Benign,Green_Mean,126.55244,181.27678,54.72434,44.46593,263.36329,9,0.14310701224359992
Benign,Blue_Mean,122.02848,177.08153,55.053049999999985,39.448905000000025,259.66110499999996,19,0.3021148036253776
Malignant,Brightness_Mean,123.36917,159.00376,35.63459,69.91728499999999,212.455645,290,5.18783542039356
Malignant,Brightness_Std,34.965255,61.18053375,26.215278750000003,-4.357663125000002,100.503451875,0,0.0
Malignant,Red_Mean,144.205635,185.383055,41.17742000000001,82.43950499999998,247.14918500000005,301,5.384615384615385
Malignant,Green_Mean,113.5554275,150.171735,36.61630750000002,58.630966249999965,205.09619625000005,207,3.70304114490161
Malignant,Blue_Mean,105.0077545,147.950605,42.94285049999999,40.59347875000002,212.36488075,36,0.6440071556350626
