filepath,class,label
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2752.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\696.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2492.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4879.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5075.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2848.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\929.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5063.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5038.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1170.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3802.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2002.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3252.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5077.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\958.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4179.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4407.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5096.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3250.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4264.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5801.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4442.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2521.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4261.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3042.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4855.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1904.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1195.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1793.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5099.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5123.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\249.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3741.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1444.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3752.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3995.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\880.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2040.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\688.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3062.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\6054.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\73.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\6158.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1572.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3304.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1145.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4408.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1840.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\700.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1666.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\238.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1888.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4798.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1344.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5232.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5277.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5335.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\202.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\950.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4909.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5117.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1624.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3647.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1008.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\371.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5056.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1841.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\937.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3830.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5248.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3741.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2001.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\588.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2814.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3287.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4504.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\340.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4856.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5364.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2882.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5569.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2029.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4015.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4553.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1575.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1521.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4698.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\478.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1974.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1500.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3894.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4095.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4279.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3868.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2357.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2131.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2641.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3711.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\923.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2101.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4859.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4152.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1981.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5160.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3848.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5207.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\282.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2237.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1781.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4939.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\240.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2588.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2557.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\862.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1112.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3440.jpg,Malignant,1
